iter	Passed	Remaining
760	17993	218454
761	18016	218420
762	18040	218404
763	18063	218368
764	18085	218328
765	18107	218282
766	18129	218239
767	18151	218195
768	18173	218148
769	18196	218127
770	18219	218095
771	18243	218069
772	18266	218043
773	18290	218017
774	18314	218000
775	18336	217955
776	18358	217912
777	18380	217876
778	18403	217842
779	18426	217804
780	18449	217776
781	18472	217743
782	18494	217703
783	18518	217681
784	18540	217639
785	18562	217597
786	18584	217557
787	18608	217537
788	18630	217500
789	18653	217464
790	18677	217447
791	18709	217525
792	18738	217565
793	18762	217535
794	18784	217496
795	18807	217468
796	18832	217462
797	18854	217417
798	18876	217371
799	18898	217329
800	18921	217305
801	18945	217287
802	18968	217252
803	18991	217221
804	19014	217188
805	19038	217174
806	19063	217160
807	19084	217110
808	19107	217073
809	19131	217061
810	19156	217048
811	19180	217035
812	19204	217010
813	19227	216986
814	19252	216976
815	19274	216928
816	19296	216889
817	19318	216845
818	19341	216815
819	19363	216775
820	19386	216741
821	19407	216688
822	19428	216645
823	19451	216614
824	19475	216589
825	19497	216551
826	19519	216507
827	19540	216456
828	19562	216412
829	19583	216365
830	19605	216317
831	19629	216301
832	19651	216264
833	19674	216225
834	19696	216188
835	19718	216145
836	19746	216177
837	19769	216140
838	19791	216098
839	19812	216053
840	19834	216012
841	19855	215960
842	19881	215965
843	19905	215942
844	19928	215906
845	19950	215870
846	19974	215849
847	19996	215810
848	20018	215767
849	20039	215723
850	20062	215687
851	20084	215654
852	20109	215643
853	20133	215624
854	20158	215608
855	20206	215847
856	20228	215809
857	20250	215770
858	20272	215733
859	20294	215691
860	20318	215664
861	20342	215653
862	20365	215621
863	20390	215609
864	20412	215565
865	20434	215527
866	20456	215484
867	20477	215441
868	20499	215394
869	20522	215368
870	20545	215336
871	20567	215303
872	20589	215257
873	20611	215218
874	20634	215186
875	20656	215150
876	20679	215117
877	20701	215080
878	20724	215045
879	20746	215010
880	20768	214969
881	20791	214943
882	20814	214906
883	20838	214893
884	20860	214852
885	20883	214820
886	20907	214800
887	20930	214777
888	20953	214746
889	20976	214714
890	20999	214684
891	21024	214681
892	21048	214660
893	21071	214629
894	21093	214589
895	21115	214550
896	21139	214527
897	21160	214480
898	21184	214458
899	21206	214424
900	21228	214385
901	21251	214357
902	21275	214331
903	21301	214329
904	21323	214297
905	21347	214272
906	21368	214231
907	21390	214190
908	21412	214145
909	21434	214108
910	21457	214077
911	21479	214043
912	21502	214010
913	21524	213972
914	21548	213956
915	21574	213950
916	21597	213923
917	21619	213886
918	21641	213848
919	21665	213824
920	21692	213837
921	21714	213799
922	21737	213767
923	21759	213737
924	21783	213713
925	21805	213674
926	21827	213634
927	21850	213607
928	21873	213579
929	21895	213538
930	21918	213514
931	21941	213477
932	21964	213452
933	21986	213418
934	22009	213388
935	22032	213357
936	22054	213317
937	22076	213282
938	22103	213294
939	22126	213259
940	22147	213217
941	22170	213189
942	22193	213154
943	22215	213118
944	22236	213074
945	22260	213053
946	22293	213119
947	22317	213098
948	22339	213059
949	22361	213026
950	22383	212989
951	22406	212956
952	22428	212921
953	22454	212917
954	22480	212913
955	22504	212894
956	22529	212884
957	22554	212876
958	22577	212850
959	22599	212809
960	22623	212793
961	22648	212781
962	22671	212756
963	22696	212741
964	22722	212740
965	22745	212715
966	22769	212696
967	22791	212655
968	22816	212643
969	22838	212613
970	22862	212591
971	22887	212580
972	22910	212548
973	22931	212505
974	22953	212465
975	22975	212425
976	22996	212381
977	23018	212346
978	23039	212301
979	23062	212266
980	23084	212227
981	23106	212192
982	23129	212167
983	23152	212134
984	23174	212096
985	23196	212061
986	23219	212032
987	23241	211992
988	23266	211989
989	23290	211968
990	23323	212032
991	23346	211999
992	23368	211962
993	23391	211939
994	23414	211903
995	23437	211875
996	23460	211846
997	23484	211828
998	23506	211790
999	23527	211747
1000	23550	211720
1001	23572	211686
1002	23595	211650
1003	23617	211615
1004	23641	211597
1005	23665	211581
1006	23690	211564
1007	23712	211528
1008	23735	211499
1009	23756	211459
1010	23781	211445
1011	23804	211415
1012	23826	211377
1013	23847	211338
1014	23870	211303
1015	23892	211272
1016	23915	211243
1017	23938	211210
1018	23960	211176
1019	23982	211136
1020	24005	211107
1021	24027	211075
1022	24049	211042
1023	24071	211001
1024	24094	210973
1025	24117	210941
1026	24139	210909
1027	24162	210879
1028	24185	210849
1029	24208	210826
1030	24230	210792
1031	24254	210766
1032	24275	210721
1033	24297	210691
1034	24320	210659
1035	24351	210699
1036	24373	210665
1037	24396	210636
1038	24419	210610
1039	24443	210587
1040	24464	210548
1041	24488	210521
1042	24511	210493
1043	24533	210462
1044	24556	210432
1045	24580	210411
1046	24602	210380
1047	24624	210344
1048	24648	210324
1049	24670	210288
1050	24693	210260
1051	24716	210231
1052	24738	210198
1053	24761	210170
1054	24787	210167
1055	24829	210296
1056	24856	210306
1057	24881	210289
1058	24903	210257
1059	24935	210303
1060	24956	210263
1061	24978	210224
1062	25001	210198
1063	25025	210172
1064	25049	210155
1065	25071	210118
1066	25094	210091
1067	25116	210060
1068	25139	210031
1069	25163	210010
1070	25186	209978
1071	25208	209945
1072	25230	209911
1073	25262	209952
1074	25284	209923
1075	25334	210116
1076	25355	210074
1077	25378	210046
1078	25401	210017
1079	25426	210007
1080	25450	209983
1081	25476	209982
1082	25498	209946
1083	25520	209908
1084	25543	209877
1085	25564	209838
1086	25587	209804
1087	25609	209774
1088	25634	209756
1089	25655	209719
1090	25678	209685
1091	25700	209649
1092	25723	209620
1093	25745	209591
1094	25769	209566
1095	25792	209537
1096	25815	209509
1097	25837	209479
1098	25859	209444
1099	25884	209430
1100	25907	209404
1101	25930	209371
1102	25952	209339
1103	25974	209301
1104	25996	209262
1105	26018	209227
1106	26040	209193
1107	26062	209161
1108	26084	209126
1109	26109	209107
1110	26131	209072
1111	26155	209052
1112	26177	209020
1113	26199	208983
1114	26223	208964
1115	26245	208927
1116	26268	208900
1117	26294	208895
1118	26316	208862
1119	26338	208830
1120	26361	208795
1121	26383	208767
1122	26407	208740
1123	26430	208714
1124	26453	208687
1125	26475	208655
1126	26497	208618
1127	26523	208616
1128	26546	208586
1129	26568	208552
1130	26591	208523
1131	26614	208492
1132	26642	208506
1133	26665	208479
1134	26687	208445
1135	26710	208413
1136	26736	208413
1137	26758	208376
1138	26780	208340
1139	26803	208314
1140	26825	208277
1141	26847	208247
1142	26870	208218
1143	26892	208183
1144	26914	208148
1145	26936	208114
1146	26959	208084
1147	26980	208044
1148	27003	208014
1149	27025	207980
1150	27047	207945
1151	27070	207917
1152	27097	207920
1153	27121	207896
1154	27142	207859
1155	27165	207829
1156	27188	207803
1157	27211	207775
1158	27234	207747
1159	27257	207721
1160	27280	207693
1161	27303	207666
1162	27325	207631
1163	27350	207620
1164	27373	207592
1165	27396	207564
1166	27419	207537
1167	27441	207499
1168	27463	207468
1169	27484	207429
1170	27508	207407
1171	27531	207377
1172	27554	207348
1173	27577	207323
1174	27603	207316
1175	27630	207319
1176	27653	207293
1177	27675	207260
1178	27696	207222
1179	27718	207186
1180	27750	207224
1181	27774	207201
1182	27798	207184
1183	27821	207158
1184	27843	207123
1185	27867	207100
1186	27890	207073
1187	27913	207049
1188	27936	207021
1189	27958	206988
1190	27980	206949
1191	28002	206917
1192	28024	206884
1193	28047	206859
1194	28070	206832
1195	28092	206795
1196	28115	206765
1197	28140	206753
1198	28164	206738
1199	28187	206705
1200	28209	206672
1201	28232	206650
1202	28256	206624
1203	28283	206632
1204	28307	206609
1205	28330	206582
1206	28353	206557
1207	28375	206522
1208	28397	206488
1209	28421	206467
1210	28445	206444
1211	28467	206413
1212	28490	206385
1213	28516	206379
1214	28540	206359
1215	28565	206344
1216	28586	206309
1217	28611	206297
1218	28634	206268
1219	28660	206261
1220	28682	206228
1221	28705	206203
1222	28737	206238
1223	28760	206213
1224	28783	206181
1225	28806	206156
1226	28833	206158
1227	28861	206168
1228	28883	206132
1229	28905	206099
1230	28928	206074
1231	28952	206053
1232	28976	206029
1233	28998	205996
1234	29020	205966
1235	29048	205973
1236	29071	205941
1237	29096	205934
1238	29119	205903
1239	29143	205886
1240	29165	205853
1241	29187	205818
1242	29210	205788
1243	29232	205755
1244	29255	205730
1245	29277	205695
1246	29300	205669
1247	29322	205632
1248	29345	205607
1249	29370	205592
1250	29395	205580
1251	29418	205550
1252	29444	205545
1253	29490	205681
1254	29513	205650
1255	29537	205632
1256	29559	205598
1257	29582	205570
1258	29603	205534
1259	29627	205509
1260	29649	205474
1261	29673	205454
1262	29696	205431
1263	29719	205401
1264	29744	205387
1265	29766	205355
1266	29793	205356
1267	29817	205337
1268	29839	205301
1269	29861	205268
